Provincia,Accesos por cada 100 hogares,Nuevo acceso estimado (KPI 1),Accesos por cada 100 habitantes,Población estimada,Habitantes sin acceso,Velocidad promedio (Mbps),% de acceso por fibra óptica,País
Buenos Aires,79.84,81.44,27.43,17500000,12699750.0,157.41,37.07,Argentina
Ciudad Autonoma de Buenos Aires,116.37,118.7,47.44,3100000,1629360.0000000002,233.01,15.74,Argentina
Catamarca,68.81,70.19,17.5,400000,330000.0,97.38,77.69,Argentina
Chaco,44.06,44.94,11.78,1100000,970420.0,107.76,46.89,Argentina
Chubut,86.33,88.06,26.46,600000,441240.00000000006,21.67,15.23,Argentina
Córdoba,90.79,92.61,27.79,3500000,2527350.0,117.39,43.98,Argentina
Corrientes,51.38,52.41,13.53,1100000,951170.0,104.26,25.43,Argentina
Entre Ríos,68.64,70.01,20.52,1300000,1033239.9999999999,100.98,23.29,Argentina
Formosa,39.69,40.48,10.1,600000,539400.0,82.66,30.13,Argentina
Jujuy,58.3,59.47,14.91,800000,680720.0,49.87,44.69,Argentina
La Pampa,101.17,103.19,33.33,350000,233345.00000000003,28.73,30.2,Argentina
La Rioja,79.52,81.11,21.17,400000,315320.0,64.24,26.63,Argentina
Mendoza,52.3,53.35,14.6,2000000,1708000.0,55.32,62.59,Argentina
Misiones,57.73,58.88,15.72,1200000,1011360.0,96.15,42.32,Argentina
Neuquén,78.93,80.51,23.49,700000,535570.0,97.04,25.55,Argentina
Río Negro,71.35,72.78,21.95,750000,585375.0,75.05,39.32,Argentina
Salta,55.72,56.83,13.49,1500000,1297650.0,87.03,32.13,Argentina
San Juan,51.17,52.19,13.03,800000,695760.0,32.17,43.21,Argentina
San Luis,103.4,105.47,29.59,500000,352050.0,181.61,21.74,Argentina
Santa Cruz,69.92,71.32,20.8,300000,237600.0,29.89,59.35,Argentina
Santa Fe,81.34,82.97,25.58,3300000,2455860.0,102.51,41.9,Argentina
Santiago Del Estero,49.67,50.66,12.33,1000000,876700.0,48.95,23.95,Argentina
Tierra Del Fuego,108.89,111.07,32.28,180000,121896.0,22.09,6.0,Argentina
Tucumán,60.84,62.06,15.07,1600000,1358880.0,108.93,80.08,Argentina
